Year,Season,Date,Time,At,Opponent,Location,Score
2004,2004-05 Men's Basketball,12/22/2004,TBD,Home,St. Francis (Pa.),Williams Arena,W 85-67
2004,2004-05 Men's Basketball,12/29/2004,TBD,Home,UNC Greensboro,Williams Arena,W 94-59
2005,2004-05 Men's Basketball,01/01/2005,TBD,Home,Coppin State,Williams Arena,W 79-58
2005,2004-05 Men's Basketball,01/03/2005,TBD,Home,Loyola Marymount,Williams Arena,W 93-67
2005,2004-05 Men's Basketball,01/08/2005,TBD,Home,Penn State,Williams Arena,W 83-62
2005,2004-05 Men's Basketball,01/12/2005,TBD,Home,Purdue,Williams Arena,W 63-52
2005,2004-05 Men's Basketball,01/22/2005,TBD,Home,Michigan State,Williams Arena,L 55-69
2005,2004-05 Men's Basketball,01/26/2005,TBD,Home,Indiana,Williams Arena,W 70-65
2005,2004-05 Men's Basketball,02/05/2005,TBD,Home,Wisconsin,Williams Arena,W 60-50
2005,2004-05 Men's Basketball,02/09/2005,TBD,Home,Northwestern,Williams Arena,L 53-55
2005,2004-05 Men's Basketball,02/19/2005,TBD,Home,Ohio State,Williams Arena,W 52-50
2005,2004-05 Men's Basketball,02/23/2005,TBD,Home,Iowa,Williams Arena,W 65-57
2003,2003-04 Men's Basketball,11/17/2003,TBD,Home,UMKC,Williams Arena,W 78-67
2003,2003-04 Men's Basketball,11/30/2003,TBD,Home,Furman,Williams Arena,W 91-84
2003,2003-04 Men's Basketball,12/06/2003,TBD,Home,Western Illinois,Williams Arena,W 86-64
2003,2003-04 Men's Basketball,12/09/2003,TBD,Home,Long Beach State,Williams Arena,W 88-58
2003,2003-04 Men's Basketball,12/12/2003,TBD,Home,Oral Roberts,Williams Arena,W 100-80
2003,2003-04 Men's Basketball,12/22/2003,TBD,Home,Duquesne,Williams Arena,W 74-69
2003,2003-04 Men's Basketball,12/29/2003,TBD,Home,Nebraska,Williams Arena,L 60-77
2004,2003-04 Men's Basketball,01/04/2004,TBD,Home,Wofford,Williams Arena,W 82-70
2004,2003-04 Men's Basketball,01/10/2004,TBD,Home,Princeton,Williams Arena,W 57-53
2004,2003-04 Men's Basketball,01/13/2004,TBD,Home,Iowa,Williams Arena,L 68-83
2004,2003-04 Men's Basketball,01/24/2004,TBD,Home,Indiana,Williams Arena,L 81-86
2004,2003-04 Men's Basketball,01/28/2004,TBD,Home,Michigan State,Williams Arena,L 78-79
2004,2003-04 Men's Basketball,02/08/2004,TBD,Home,Illinois,Williams Arena,L 69-79
2004,2003-04 Men's Basketball,02/11/2004,TBD,Home,Michigan,Williams Arena,W 81-78
2004,2003-04 Men's Basketball,02/21/2004,TBD,Home,Purdue,Williams Arena,L 47-65
2004,2003-04 Men's Basketball,02/25/2004,TBD,Home,Ohio State,Williams Arena,L 59-70
2004,2003-04 Men's Basketball,03/06/2004,TBD,Home,Penn State,Williams Arena,W 78-62
2002,2002-03 Men's Basketball,11/24/2002,TBD,Home,UNC Asheville,Williams Arena,W 87-81
2002,2002-03 Men's Basketball,11/30/2002,TBD,Home,Georgia,Williams Arena,W 72-69
2002,2002-03 Men's Basketball,12/04/2002,TBD,Home,Georgia Tech,Williams Arena,W 64-63
2002,2002-03 Men's Basketball,12/06/2002,TBD,Home,Bethune Cookman,Williams Arena,W 79-52
2002,2002-03 Men's Basketball,12/10/2002,TBD,Home,Arkansas-Little Rock,Williams Arena,W 86-84
2002,2002-03 Men's Basketball,12/13/2002,TBD,Home,Fairleigh Dickinson,Williams Arena,W 104-66
2002,2002-03 Men's Basketball,12/28/2002,TBD,Home,Texas Tech,Williams Arena,L 81-90
2003,2002-03 Men's Basketball,01/01/2003,TBD,Home,Oral Roberts,Williams Arena,W 85-80
2003,2002-03 Men's Basketball,01/04/2003,TBD,Home,Sacred Heart,Williams Arena,W 79-46
2003,2002-03 Men's Basketball,01/07/2003,TBD,Home,Illinois,Williams Arena,L 70-76
2003,2002-03 Men's Basketball,01/18/2003,TBD,Home,Michigan State,Williams Arena,W 77-69
2003,2002-03 Men's Basketball,01/25/2003,TBD,Home,Northwestern,Williams Arena,W 74-57
2003,2002-03 Men's Basketball,02/01/2003,TBD,Home,Michigan,Williams Arena,W 87-80
2003,2002-03 Men's Basketball,02/08/2003,TBD,Home,Purdue,Williams Arena,W 90-68
2003,2002-03 Men's Basketball,02/12/2003,TBD,Home,Iowa,Williams Arena,W 77-64
2003,2002-03 Men's Basketball,02/22/2003,TBD,Home,Penn State,Williams Arena,W 77-62
2003,2002-03 Men's Basketball,03/02/2003,TBD,Home,Wisconsin,Williams Arena,L 61-69
2003,2002-03 Men's Basketball,03/24/2003,TBD,Home,Hawaii,Williams Arena,W 84-70
2001,2001-02 Men's Basketball,11/17/2001,TBD,Home,Mercer,Williams Arena,W 80-59
2001,2001-02 Men's Basketball,11/21/2001,TBD,Home,UNC Asheville,Williams Arena,W 92-65
2001,2001-02 Men's Basketball,11/24/2001,TBD,Home,Eastern Washington,Williams Arena,W 86-68
2001,2001-02 Men's Basketball,12/01/2001,TBD,Home,Texas-Pan American,Williams Arena,W 89-72
2001,2001-02 Men's Basketball,12/04/2001,TBD,Home,UNC-Wilmington,Williams Arena,L 50-58
2001,2001-02 Men's Basketball,12/10/2001,TBD,Home,Oregon,Williams Arena,W 75-72
2001,2001-02 Men's Basketball,12/13/2001,TBD,Home,Maryland-Eastern Shore,Williams Arena,W 95-48
2001,2001-02 Men's Basketball,12/22/2001,TBD,Home,Nebraska,Williams Arena,W 81-72
2002,2001-02 Men's Basketball,01/05/2002,TBD,Home,Michigan State,Williams Arena,W 70-67
2002,2001-02 Men's Basketball,01/09/2002,TBD,Home,Michigan,Williams Arena,W 90-82
2002,2001-02 Men's Basketball,01/26/2002,TBD,Home,Ohio State,Williams Arena,W 89-71
2002,2001-02 Men's Basketball,01/30/2002,TBD,Home,Penn State,Williams Arena,W 94-70
2002,2001-02 Men's Basketball,02/02/2002,TBD,Home,Indiana,Williams Arena,W 88-74
2002,2001-02 Men's Basketball,02/16/2002,TBD,Home,Wisconsin,Williams Arena,L 62-67
2002,2001-02 Men's Basketball,02/23/2002,TBD,Home,Penn State,Williams Arena,W 68-64
2002,2001-02 Men's Basketball,02/27/2002,TBD,Home,Northwestern,Williams Arena,W 69-51
2002,2001-02 Men's Basketball,03/03/2002,TBD,Home,Illinois,Williams Arena,L 66-67
2002,2001-02 Men's Basketball,03/13/2002,TBD,Home,New Mexico,Williams Arena,W 96-62
2002,2001-02 Men's Basketball,03/18/2002,TBD,Home,Richmond,Williams Arena,L 66-67
2000,2000-01 Men's Basketball,11/17/2000,TBD,Home,UNC-Greensboro,Williams Arena,W 81-61
2000,2000-01 Men's Basketball,11/19/2000,TBD,Home,Georgia,Williams Arena,W 77-74
2000,2000-01 Men's Basketball,12/03/2000,TBD,Home,Morris Brown,Williams Arena,W 64-53
2000,2000-01 Men's Basketball,12/09/2000,TBD,Home,Bethune-Cookman,Williams Arena,W 93-70
2000,2000-01 Men's Basketball,12/12/2000,TBD,Home,Louisiana Tech,Williams Arena,W 69-53
2000,2000-01 Men's Basketball,12/22/2000,TBD,Home,Dartmouth,Williams Arena,W 81-62
2000,2000-01 Men's Basketball,12/28/2000,TBD,Home,Nebraska,Williams Arena,W 74-70
2000,2000-01 Men's Basketball,12/30/2000,TBD,Home,Centenary,Williams Arena,W 93-59
2001,2000-01 Men's Basketball,01/06/2001,TBD,Home,Wisconsin,Williams Arena,W 54-49
2001,2000-01 Men's Basketball,01/17/2001,TBD,Home,Purdue,Williams Arena,W 70-67
2001,2000-01 Men's Basketball,01/20/2001,TBD,Home,Indiana,Williams Arena,W 78-74
2001,2000-01 Men's Basketball,01/24/2001,TBD,Home,Iowa,Williams Arena,L 74-87
2001,2000-01 Men's Basketball,02/03/2001,TBD,Home,Ohio State,Williams Arena,L 66-73
2001,2000-01 Men's Basketball,02/11/2001,TBD,Home,Michigan State,Williams Arena,L 83-94
2001,2000-01 Men's Basketball,02/14/2001,TBD,Home,Penn State,Williams Arena,L 62-82
2001,2000-01 Men's Basketball,03/04/2001,TBD,Home,Illinois,Williams Arena,L 59-67
2001,2000-01 Men's Basketball,03/14/2001,TBD,Home,Villanova,Williams Arena,W 87-78
2001,2000-01 Men's Basketball,03/19/2001,TBD,Home,Tulsa,Williams Arena,L 73-76
1999,1999-00 Men's Basketball,11/20/1999,TBD,Home,Texas-Arlington,Williams Arena,W 90-62
1999,1999-00 Men's Basketball,11/23/1999,TBD,Home,Marquette,Williams Arena,W 66-57
1999,1999-00 Men's Basketball,11/27/1999,TBD,Home,Morehead State,Williams Arena,W 86-67
1999,1999-00 Men's Basketball,11/30/1999,TBD,Home,Virginia,Williams Arena,W 74-62
1999,1999-00 Men's Basketball,12/04/1999,TBD,Home,Valparaiso,Williams Arena,W 57-44
1999,1999-00 Men's Basketball,12/11/1999,TBD,Home,Maine,Williams Arena,W 91-77
1999,1999-00 Men's Basketball,12/23/1999,TBD,Home,Furman,Williams Arena,W 71-56
2000,1999-00 Men's Basketball,01/05/2000,TBD,Home,Michigan,Williams Arena,W 85-68
2000,1999-00 Men's Basketball,01/12/2000,TBD,Home,Iowa,Williams Arena,W 85-82
2000,1999-00 Men's Basketball,01/19/2000,TBD,Home,Purdue,Williams Arena,L 69-74
2000,1999-00 Men's Basketball,01/29/2000,TBD,Home,Northwestern,Williams Arena,W 69-60
2000,1999-00 Men's Basketball,02/05/2000,TBD,Home,Wisconsin,Williams Arena,L 64-66
2000,1999-00 Men's Basketball,02/09/2000,TBD,Home,Indiana,Williams Arena,W 77-75
2000,1999-00 Men's Basketball,02/17/2000,TBD,Home,Illinois,Williams Arena,L 80-89
2000,1999-00 Men's Basketball,03/04/2000,TBD,Home,Ohio State,Williams Arena,L 54-64
1998,1998-99 Men's Basketball,11/21/1998,TBD,Home,Appalachian State,Williams Arena
1998,1998-99 Men's Basketball,11/24/1998,TBD,Home,Seton Hall,Williams Arena
1998,1998-99 Men's Basketball,11/28/1998,TBD,Home,Winthrop,Williams Arena
1998,1998-99 Men's Basketball,11/30/1998,TBD,Home,Oregon,Williams Arena
1998,1998-99 Men's Basketball,12/12/1998,TBD,Home,Eastern Michigan,Williams Arena
1998,1998-99 Men's Basketball,12/16/1998,TBD,Home,Cincinnati,Williams Arena
1998,1998-99 Men's Basketball,12/22/1998,TBD,Home,Montana State,Williams Arena
1998,1998-99 Men's Basketball,12/29/1998,TBD,Home,Sacramento State,Williams Arena
1999,1998-99 Men's Basketball,01/06/1999,TBD,Home,Northwestern,Williams Arena
1999,1998-99 Men's Basketball,01/09/1999,TBD,Home,Penn State,Williams Arena
1999,1998-99 Men's Basketball,01/16/1999,TBD,Home,Iowa,Williams Arena
1999,1998-99 Men's Basketball,01/20/1999,TBD,Home,Michigan,Williams Arena
1999,1998-99 Men's Basketball,01/26/1999,TBD,Home,Indiana,Williams Arena
1999,1998-99 Men's Basketball,02/03/1999,TBD,Home,Illinois,Williams Arena
1999,1998-99 Men's Basketball,02/13/1999,TBD,Home,Michigan State,Williams Arena
1999,1998-99 Men's Basketball,02/25/1999,TBD,Home,Purdue,Williams Arena
1997,1997-98 Men's Basketball,11/17/1997,TBD,Home,Utah State,Williams Arena
1997,1997-98 Men's Basketball,11/22/1997,TBD,Home,Alabama,Williams Arena
1997,1997-98 Men's Basketball,12/01/1997,TBD,Home,Campbell,Williams Arena
1997,1997-98 Men's Basketball,12/03/1997,TBD,Home,Eastern Michigan,Williams Arena
1997,1997-98 Men's Basketball,12/05/1997,TBD,Home,Western Carolina,Williams Arena
1997,1997-98 Men's Basketball,12/13/1997,TBD,Home,Nebraska,Williams Arena
1997,1997-98 Men's Basketball,12/20/1997,TBD,Home,Fresno State,Williams Arena
1997,1997-98 Men's Basketball,12/22/1997,TBD,Home,Sacramento State,Williams Arena
1997,1997-98 Men's Basketball,12/28/1997,TBD,Home,Florida Atlantic,Williams Arena
1998,1997-98 Men's Basketball,01/02/1998,TBD,Home,Purdue,Williams Arena
1998,1997-98 Men's Basketball,01/14/1998,TBD,Home,Michigan State,Williams Arena
1998,1997-98 Men's Basketball,01/18/1998,TBD,Home,Iowa,Williams Arena
1998,1997-98 Men's Basketball,01/24/1998,TBD,Home,Ohio State,Williams Arena
1998,1997-98 Men's Basketball,01/27/1998,TBD,Home,Wisconsin,Williams Arena
1998,1997-98 Men's Basketball,02/07/1998,TBD,Home,Michigan,Williams Arena
1998,1997-98 Men's Basketball,02/18/1998,TBD,Home,Penn State,Williams Arena
1998,1997-98 Men's Basketball,02/28/1998,TBD,Home,Northwestern,Williams Arena
1998,1997-98 Men's Basketball,03/11/1998,TBD,Home,Colorado State,Williams Arena
1998,1997-98 Men's Basketball,03/16/1998,TBD,Home,UAB,Williams Arena
1998,1997-98 Men's Basketball,03/18/1998,TBD,Home,Marquette,Williams Arena
1998,1997-98 Men's Basketball,03/24/1998,TBD,Home,Fresno State,"New York, NY"
1998,1997-98 Men's Basketball,03/26/1998,TBD,Home,Penn State,"New York, NY"
1996,1996-97 Men's Basketball,11/23/1996,TBD,Home,Stephen F. Austin,Williams Arena
1996,1996-97 Men's Basketball,12/15/1996,TBD,Home,St. John's,Williams Arena
1996,1996-97 Men's Basketball,12/23/1996,TBD,Home,Alabama State,Williams Arena
1996,1996-97 Men's Basketball,12/28/1996,TBD,Home,Long Island,Williams Arena
1996,1996-97 Men's Basketball,12/31/1996,TBD,Home,Mercer,Williams Arena
1997,1996-97 Men's Basketball,01/02/1997,TBD,Home,Wisconsin,Williams Arena
1997,1996-97 Men's Basketball,01/11/1997,TBD,Home,Michigan,Williams Arena
1997,1996-97 Men's Basketball,01/23/1997,TBD,Home,Iowa,Williams Arena
1997,1996-97 Men's Basketball,01/25/1997,TBD,Home,Purdue,Williams Arena
1997,1996-97 Men's Basketball,02/05/1997,TBD,Home,Penn State,Williams Arena
1997,1996-97 Men's Basketball,02/19/1997,TBD,Home,Ohio State,Williams Arena
1997,1996-97 Men's Basketball,02/22/1997,TBD,Home,Illinois,Williams Arena
1997,1996-97 Men's Basketball,03/01/1997,TBD,Home,Indiana,Williams Arena
1997,1996-97 Men's Basketball,03/06/1997,TBD,Home,Michigan State,Williams Arena
1995,1995-96 Men's Basketball,11/28/1995,TBD,Home,Charleston Southern,Williams Arena
1995,1995-96 Men's Basketball,11/30/1995,TBD,Home,Bethune-Cookman,Williams Arena
1995,1995-96 Men's Basketball,12/09/1995,TBD,Home,Nebraska,Williams Arena
1995,1995-96 Men's Basketball,12/28/1995,TBD,Home,Mount St. Mary's,Williams Arena
1995,1995-96 Men's Basketball,12/31/1995,TBD,Home,Mercer,Williams Arena
1996,1995-96 Men's Basketball,01/03/1996,TBD,Home,Illinois,Williams Arena
1996,1995-96 Men's Basketball,01/13/1996,TBD,Home,Purdue,Williams Arena
1996,1995-96 Men's Basketball,01/27/1996,TBD,Home,Michigan State,Williams Arena
1996,1995-96 Men's Basketball,01/31/1996,TBD,Home,Northwestern,Williams Arena
1996,1995-96 Men's Basketball,02/06/1996,TBD,Home,Indiana,Williams Arena
1996,1995-96 Men's Basketball,02/17/1996,TBD,Home,Wisconsin,Williams Arena
1996,1995-96 Men's Basketball,02/21/1996,TBD,Home,Ohio State,Williams Arena
1996,1995-96 Men's Basketball,03/02/1996,TBD,Home,Penn State,Williams Arena
1996,1995-96 Men's Basketball,03/06/1996,TBD,Home,Iowa,Williams Arena
1994,1994-95 Men's Basketball,11/29/1994,TBD,Home,Sacramento State,Williams Arena
1994,1994-95 Men's Basketball,12/01/1994,TBD,Home,Central Connecticut State,Williams Arena
1994,1994-95 Men's Basketball,12/11/1994,TBD,Home,Rhode Island,Williams Arena
1994,1994-95 Men's Basketball,12/13/1994,TBD,Home,Cincinnati,Williams Arena
1994,1994-95 Men's Basketball,12/21/1994,TBD,Home,Texas Southern,Williams Arena
1994,1994-95 Men's Basketball,12/23/1994,TBD,Home,San Jose State,Williams Arena
1994,1994-95 Men's Basketball,12/31/1994,TBD,Home,Middle Tennessee State,Williams Arena
1995,1994-95 Men's Basketball,01/04/1995,TBD,Home,Penn State,Williams Arena
1995,1994-95 Men's Basketball,01/11/1995,TBD,Home,Northwestern,Williams Arena
1995,1994-95 Men's Basketball,01/18/1995,TBD,Home,Ohio State,Williams Arena
1995,1994-95 Men's Basketball,01/21/1995,TBD,Home,Illinois,Williams Arena
1995,1994-95 Men's Basketball,02/04/1995,TBD,Home,Michigan,Williams Arena
1995,1994-95 Men's Basketball,02/15/1995,TBD,Home,Iowa,Williams Arena
1995,1994-95 Men's Basketball,02/18/1995,TBD,Home,Michigan State,Williams Arena
1995,1994-95 Men's Basketball,02/28/1995,TBD,Home,Wisconsin,Williams Arena
1995,1994-95 Men's Basketball,03/09/1995,TBD,Home,Purdue,Williams Arena
1993,1993-94 Men's Basketball,11/18/1993,TBD,Home,Rice,Williams Arena
1993,1993-94 Men's Basketball,11/20/1993,TBD,Home,Georgia,Williams Arena
1993,1993-94 Men's Basketball,11/29/1993,TBD,Home,Mississippi Valley State,Williams Arena
1993,1993-94 Men's Basketball,12/15/1993,TBD,Home,Clemson,Williams Arena
1993,1993-94 Men's Basketball,12/19/1993,TBD,Home,Western Carolina,Williams Arena
1993,1993-94 Men's Basketball,12/31/1993,TBD,Home,James Madison,Williams Arena
1994,1993-94 Men's Basketball,01/03/1994,TBD,Home,Northeastern Illinois,Williams Arena
1994,1993-94 Men's Basketball,01/08/1994,TBD,Home,Northwestern,"Evanston, IL"
1994,1993-94 Men's Basketball,01/12/1994,TBD,Home,Wisconsin,Williams Arena
1994,1993-94 Men's Basketball,01/20/1994,TBD,Home,Michigan,Williams Arena
1994,1993-94 Men's Basketball,01/22/1994,TBD,Home,Michigan State,Williams Arena
1994,1993-94 Men's Basketball,01/29/1994,TBD,Home,Purdue,Williams Arena
1994,1993-94 Men's Basketball,02/05/1994,TBD,Home,Northwestern,Williams Arena
1994,1993-94 Men's Basketball,02/09/1994,TBD,Home,Ohio State,Williams Arena
1994,1993-94 Men's Basketball,02/16/1994,TBD,Home,Penn State,Williams Arena
1994,1993-94 Men's Basketball,02/27/1994,TBD,Home,Indiana,Williams Arena
1994,1993-94 Men's Basketball,03/05/1994,TBD,Home,Iowa,Williams Arena
1992,1992-93 Men's Basketball,12/02/1992,TBD,Home,Southern Illinois-Edwardsville,Williams Arena,W 108-64
1992,1992-93 Men's Basketball,12/12/1992,TBD,Home,Middle Tennessee State,Williams Arena,W 88-65
1992,1992-93 Men's Basketball,12/14/1992,TBD,Home,Texas-San Antonio,Williams Arena,W 93-75
1992,1992-93 Men's Basketball,12/19/1992,TBD,Home,Bethune-Cookman,Williams Arena,W 92-50
1992,1992-93 Men's Basketball,12/21/1992,TBD,Home,Tennessee-Martin,Williams Arena,W 92-63
1992,1992-93 Men's Basketball,12/31/1992,TBD,Home,Memphis State,Williams Arena,W 70-55
1993,1992-93 Men's Basketball,01/02/1993,TBD,Home,UAB,Williams Arena,W 74-59
1993,1992-93 Men's Basketball,01/06/1993,TBD,Home,Michigan State,Williams Arena,W 64-57
1993,1992-93 Men's Basketball,01/09/1993,TBD,Home,Purdue,Williams Arena,W 81-60
1993,1992-93 Men's Basketball,01/20/1993,TBD,Home,Michigan,Williams Arena,L 73-80
1993,1992-93 Men's Basketball,01/23/1993,TBD,Home,Northwestern,Williams Arena,W 70-55
1993,1992-93 Men's Basketball,02/03/1993,TBD,Home,Penn State,Williams Arena,W 95-67
1993,1992-93 Men's Basketball,02/13/1993,TBD,Home,Iowa,Williams Arena,W 91-85
1993,1992-93 Men's Basketball,02/18/1993,TBD,Home,Wisconsin,Williams Arena,W 85-71
1993,1992-93 Men's Basketball,02/27/1993,TBD,Home,Indiana,Williams Arena,L 75-86
1993,1992-93 Men's Basketball,03/03/1993,TBD,Home,Illinois,Williams Arena,W 67-65
1991,1991-92 Men's Basketball,11/30/1991,TBD,Home,Howard,Williams Arena,W 95-54
1991,1991-92 Men's Basketball,12/02/1991,TBD,Home,Youngstown State,Williams Arena,W 98-59
1991,1991-92 Men's Basketball,12/11/1991,TBD,Home,Akron,Williams Arena,W 86-59
1991,1991-92 Men's Basketball,12/17/1991,TBD,Home,Detroit Mercy,Williams Arena,W 68-66
1991,1991-92 Men's Basketball,12/23/1991,TBD,Home,Weber State,Williams Arena,W 92-52
1992,1991-92 Men's Basketball,01/04/1992,TBD,Home,Iowa State,Williams Arena,L 73-76
1992,1991-92 Men's Basketball,01/11/1992,TBD,Home,Michigan,Williams Arena,W 73-64
1992,1991-92 Men's Basketball,01/18/1992,TBD,Home,Michigan State,Williams Arena,W 70-66
1992,1991-92 Men's Basketball,01/25/1992,TBD,Home,Illinois,Williams Arena,W 54-53
1992,1991-92 Men's Basketball,01/29/1992,TBD,Home,Northwestern,Williams Arena,W 92-50
1992,1991-92 Men's Basketball,02/12/1992,TBD,Home,Indiana,Williams Arena,W 71-67
1992,1991-92 Men's Basketball,02/25/1992,TBD,Home,Iowa,Williams Arena,L 64-79
1992,1991-92 Men's Basketball,03/04/1992,TBD,Home,Wisconsin,Williams Arena,W 76-57
1992,1991-92 Men's Basketball,03/07/1992,TBD,Home,Purdue,Williams Arena,L 58-68
1992,1991-92 Men's Basketball,03/14/1992,TBD,Home,Ohio State,Williams Arena,L 63-94
1990,1990-91 Men's Basketball,11/25/1990,TBD,Home,Robert Morris,Williams Arena,W 74-61
1990,1990-91 Men's Basketball,11/27/1990,TBD,Home,Augusta,Williams Arena,W 90-60
1990,1990-91 Men's Basketball,12/01/1990,TBD,Home,Northern Illinois,Williams Arena,W 65-37
1990,1990-91 Men's Basketball,12/13/1990,TBD,Home,Santa Clara,Williams Arena,W 73-63
1990,1990-91 Men's Basketball,12/15/1990,TBD,Home,Oregon State,Williams Arena,W 64-53
1990,1990-91 Men's Basketball,12/20/1990,TBD,Home,Cincinnati,Williams Arena,L 64-72
1990,1990-91 Men's Basketball,12/29/1990,TBD,Home,Virginia,Williams Arena,L 72-79
1991,1990-91 Men's Basketball,01/12/1991,TBD,Home,Iowa,Williams Arena,W 79-77
1991,1990-91 Men's Basketball,01/17/1991,TBD,Home,Purdue,Williams Arena,W 59-56
1991,1990-91 Men's Basketball,01/24/1991,TBD,Home,Ohio State,Williams Arena,L 70-80
1991,1990-91 Men's Basketball,01/31/1991,TBD,Home,Michigan,Williams Arena,L 62-66
1991,1990-91 Men's Basketball,02/03/1991,TBD,Home,Indiana,Williams Arena,L 66-77
1991,1990-91 Men's Basketball,02/10/1991,TBD,Home,Illinois,Williams Arena,L 74-94
1991,1990-91 Men's Basketball,02/25/1991,TBD,Home,Michigan State,Williams Arena,L 72-74
1991,1990-91 Men's Basketball,02/28/1991,TBD,Home,Northwestern,Williams Arena,W 88-70
1991,1990-91 Men's Basketball,03/09/1991,TBD,Home,Wisconsin,Williams Arena,W 80-70
1988,1988-89 Men's Basketball,11/26/1988,TBD,Home,Ball State,Williams Arena,L 57-63
1988,1988-89 Men's Basketball,11/29/1988,TBD,Home,Youngstown State,Williams Arena,W 97-64
1988,1988-89 Men's Basketball,12/03/1988,TBD,Home,Maryland-Eastern Shore,Williams Arena,W 112-68
1988,1988-89 Men's Basketball,12/10/1988,TBD,Home,Florida International,Williams Arena,W 99-75
1988,1988-89 Men's Basketball,12/21/1988,TBD,Home,Detroit,Williams Arena,W 93-69
1988,1988-89 Men's Basketball,12/30/1988,TBD,Home,Denver,Williams Arena,W 99-54
1989,1988-89 Men's Basketball,01/07/1989,TBD,Home,Kansas State,Williams Arena,W 72-67
1989,1988-89 Men's Basketball,01/14/1989,TBD,Home,Iowa,Williams Arena,W 80-78
1989,1988-89 Men's Basketball,01/18/1989,TBD,Home,Purdue,Williams Arena,W 76-66
1989,1988-89 Men's Basketball,01/26/1989,TBD,Home,Illinois,Williams Arena,W 69-62
1989,1988-89 Men's Basketball,02/01/1989,TBD,Home,Ohio State,Williams Arena,W 76-73
1989,1988-89 Men's Basketball,02/08/1989,TBD,Home,Wisconsin,Williams Arena,W 59-58
1989,1988-89 Men's Basketball,02/11/1989,TBD,Home,Michigan,Williams Arena,W 88-80
1989,1988-89 Men's Basketball,02/25/1989,TBD,Home,Indiana,Williams Arena,L 62-75
1989,1988-89 Men's Basketball,03/04/1989,TBD,Home,Northwestern,Williams Arena,W 78-59
1989,1988-89 Men's Basketball,03/08/1989,TBD,Home,Michigan State,Williams Arena,W 77-61
1987,1987-88 Men's Basketball,11/29/1987,TBD,Home,Drake,Williams Arena,L 67-90
1987,1987-88 Men's Basketball,11/30/1987,TBD,Home,Western Illinois,Williams Arena,W 84-52
1987,1987-88 Men's Basketball,12/02/1987,TBD,Home,Toledo,Williams Arena,L 75-83
1987,1987-88 Men's Basketball,12/17/1987,TBD,Home,Houston,Williams Arena,W 65-60
1987,1987-88 Men's Basketball,12/22/1987,TBD,Home,Marquette,Williams Arena,W 89-65
1987,1987-88 Men's Basketball,12/28/1987,TBD,Home,Bethune-Cookman,Williams Arena,W 94-50
1987,1987-88 Men's Basketball,12/30/1987,TBD,Home,Grambling,Williams Arena,W 106-82
1988,1987-88 Men's Basketball,01/07/1988,TBD,Home,Illinois,Williams Arena,L 61-65
1988,1987-88 Men's Basketball,01/15/1988,TBD,Home,Purdue,Williams Arena,L 74-82
1988,1987-88 Men's Basketball,01/23/1988,TBD,Home,Ohio State,Williams Arena,L 76-85
1988,1987-88 Men's Basketball,02/08/1988,TBD,Home,Wisconsin,Williams Arena,W 71-62
1988,1987-88 Men's Basketball,02/13/1988,TBD,Home,Northwestern,Williams Arena,W 82-67
1988,1987-88 Men's Basketball,02/17/1988,TBD,Home,Michigan,Williams Arena,L 78-82
1988,1987-88 Men's Basketball,02/20/1988,TBD,Home,Iowa,Williams Arena,L 86-107
1988,1987-88 Men's Basketball,03/05/1988,TBD,Home,Michigan State,Williams Arena,W 62-61
1988,1987-88 Men's Basketball,03/10/1988,TBD,Home,Indiana,Williams Arena,L 85-91
1986,1986-87 Men's Basketball,11/29/1986,TBD,Home,NDSU,Williams Arena,W 70-53
1986,1986-87 Men's Basketball,12/04/1986,TBD,Home,Eastern Michigan,Williams Arena,W 75-59
1986,1986-87 Men's Basketball,12/13/1986,TBD,Home,Chapman College,Williams Arena,W 69-67
1986,1986-87 Men's Basketball,12/18/1986,TBD,Home,Austin Peay,Williams Arena,L 64-73
1986,1986-87 Men's Basketball,12/22/1986,TBD,Home,Wichita State,Williams Arena,W 91-66
1986,1986-87 Men's Basketball,12/27/1986,TBD,Home,Tennessee Tech,Williams Arena,W 92-69
1986,1986-87 Men's Basketball,12/30/1986,TBD,Home,Murray State,Williams Arena,W 78-64
1987,1986-87 Men's Basketball,01/03/1987,TBD,Home,Wisconsin,Williams Arena,W 69-67
1987,1986-87 Men's Basketball,01/05/1987,TBD,Home,Northwestern,Williams Arena,W 60-53
1987,1986-87 Men's Basketball,01/10/1987,TBD,Home,Iowa,Williams Arena,L 57-78
1987,1986-87 Men's Basketball,01/21/1987,TBD,Home,Ohio State,Williams Arena,L 78-93
1987,1986-87 Men's Basketball,01/24/1987,TBD,Home,Indiana,Williams Arena,L 53-77
1987,1986-87 Men's Basketball,02/12/1987,TBD,Home,Illinois,Williams Arena,L 67-79
1987,1986-87 Men's Basketball,02/14/1987,TBD,Home,Purdue,Williams Arena,L 73-81
1987,1986-87 Men's Basketball,02/25/1987,TBD,Home,Michigan,Williams Arena,L 70-95
1987,1986-87 Men's Basketball,02/28/1987,TBD,Home,Michigan State,Williams Arena,L 67-77
1985,1985-86 Men's Basketball,11/29/1985,TBD,Home,San Francisco State,Williams Arena,W 95-63
1985,1985-86 Men's Basketball,11/30/1985,TBD,Home,South Dakota,Williams Arena,W 66-57
1985,1985-86 Men's Basketball,12/02/1985,TBD,Home,Eastern Illinois,Williams Arena,W 87-69
